Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,RTD Contract,Location
ELYSIUM LOUNGE,8211 GEORGIA AVENUE,SILVER SPRING,MD,20910,BBWLHR1691544,On Premise,EDEN WEST LLC,No,"8211 GEORGIA AVENUE
SILVER SPRING, MD 20910
(38.99201, -77.0266)"
SHAKE SHACK,7997 TUCKERMAN LANE,POTOMAC,MD,20854,HBWHR37155,On Premise,"SHAKE SHACK POTOMAC MD,LLC",No,"7997 TUCKERMAN LANE
POTOMAC, MD 20854
(39.04148, -77.15888)"
AHADU MARKET,8107 FENTON STREET,SILVER SPRING,MD,20910,ABWS1164495,Off Premise,AHADU MARKET LLC,No,"8107 FENTON STREET
SILVER SPRING, MD 20910
(38.99071, -77.0238)"
DICKERSON MARKET,PO BOX 175,DICKERSON,MD,20842,ABW052,Off Premise,"DICKERSON SERVICES, INC.",No,"PO BOX 175
DICKERSON, MD 20842"
Z-N-KEMEKEM BAR & LOUNGE,,,,,BBWLHR973418,On Premise,KEMEKEM LLC,No,
TALLY HO RESTUARANT,9923 FALLS RD,POTOMAC,MD,20854,HBW22790,On Premise,TALLY HO,No,"9923 FALLS RD
POTOMAC, MD 20854
(39.01852, -77.20831)"
FOOD STOP MINI MART,4820 BOILING BROOK PARKWAY,ROCKVILLE,MD,20852,ABW091,Off Premise,"BOILING BROOK PARKWAY FOODS, I",Yes,"4820 BOILING BROOK PARKWAY
ROCKVILLE, MD 20852
(39.04616, -77.09845)"
BONFIELDS MARKET,6124 MACARTHUR BLVD.,BETHESDA,MD,20816,DBW224260,On/Off-Premise,"BONFIELDS MARKET, LLC",No,"6124 MACARTHUR BLVD.
BETHESDA, MD 20816
(38.94367, -77.11595)"
THAI COTTAGE BISTRO,9613 MEDICAL CENTER DR. UNIT G,ROCKVILLE,MD,20850,BBWHR1127446,On/Off-Premise,"THAI COTTAGE BISTRO, INC",No,"9613 MEDICAL CENTER DR. UNIT G
ROCKVILLE, MD 20850
(39.10228, -77.19612)"
BURTONS GRILL & BAR,109 COMMERCE SQUARE PL.,GAITHERSBURG,MD,20878,BDBWL310263,On/Off-Premise,"BURTONS GRILL OF GAITH., LLC",No,"109 COMMERCE SQUARE PL.
GAITHERSBURG, MD 20878
(39.12251, -77.23384)"
WE ART FUN PAINTING STUDIO,"19847 CENTURY BOULEVARD, SUITE G",GERMANTOWN,MD,20874,SAGBW1214499,On Premise,RRL LLC,No,"19847 CENTURY BOULEVARD, SUITE G
GERMANTOWN, MD 20874
(39.1814, -77.2657)"
SPICE GRILL,12611-G WISTERIA DRIVE,GERMANTOWN,MD,20874,HBW346,On Premise,"INDIA GARDEN, INC",No,"12611-G WISTERIA DRIVE
GERMANTOWN, MD 20874
(39.17046, -77.26084)"
BB.Q CHICKEN,9712 TRAVILLE GATEWAY DRIVE,ROCKVILLE,MD,20850,BBWLHR1179497,On Premise,"BIGPRO INVESTMENT, INC.",No,"9712 TRAVILLE GATEWAY DRIVE
ROCKVILLE, MD 20850
(39.09157, -77.20405)"
TALBOTT BEER & WINE,1071 ROCKVILLE PIKE,ROCKVILLE,MD,20852,ABW814373,Off Premise,"Talbott Wine Cellars, LLC",Yes,"1071 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.07113, -77.1329)"
PACCI'S TRATTORIA,6 POST OFFICE ROAD,SILVER SPRING,MD,20910,BBWLHR680,On Premise,"PACCI'S TRATTORIA, LLC",No,"6 POST OFFICE ROAD
SILVER SPRING, MD 20910
(39.01504, -77.05539)"
BETHESDA CURRY KITCHEN,4860 CORDELL AVENUE,BETHESDA,MD,20814,BBWLHR1071790,On Premise,"BHAIRAVI, LLC",No,"4860 CORDELL AVENUE
BETHESDA, MD 20814
(38.98981, -77.09767)"
WISTERIA BEER & WINE,"13220 WISTERIA DRIVE, UNIT #4",GERMANTOWN,MD,20874,DBW276,On/Off-Premise,"WISTERIA BEER & WINE, LLC",Yes,"13220 WISTERIA DRIVE, UNIT #4
GERMANTOWN, MD 20874
(39.18075, -77.27603)"
KPOT HOT POT & BBQ,5550 RANDOLPH RD,ROCKVILLE,MD,20852,BBWLHR32900,On Premise,"ROCK HOT POT & BBQ, INC.",No,"5550 RANDOLPH RD
ROCKVILLE, MD 20852
(39.05259, -77.11196)"
CAMPEON,902 MERRIMAC DRIVE,TAKOMA PARK,MD,20912,HBW321,On Premise,"CAMPEON, INC",No,"902 MERRIMAC DRIVE
TAKOMA PARK, MD 20912
(38.99252, -76.99232)"
KOREAN KORNER,12207 VEIRS MILL ROAD,SILVER SPRING,MD,20906,ABW107,Off Premise,"KOREAN KORNER, INC.",No,"12207 VEIRS MILL ROAD
SILVER SPRING, MD 20906
(39.05704, -77.08239)"
FRYER'S ROADSIDE,12830 NEW HAMPSHIRE AVENUE,SILVER SPRING,MD,20904,BDBWL1706544,On/Off-Premise,"FRYER'S ROADSIDE, LLC",No,"12830 NEW HAMPSHIRE AVENUE
SILVER SPRING, MD 20904
(39.06575, -77.00077)"
ZT-SHEBA RESTAURANT,,,,,HBWHR34236,On Premise,"TAZZO, LLC",No,
OSAKA RAMEN & SUSHI,12146 DARNESTOWN RD,GAITHERSBURG,MD,20878,BBWHR1406544,On/Off-Premise,PD98 LLC,No,"12146 DARNESTOWN RD
GAITHERSBURG, MD 20878
(39.11736, -77.25249)"
INDIA PALACE BAR & TANDOOR,19743 FREDERICK ROAD,GERMANTOWN,MD,20876,BBWLHR380,On Premise,SIMRAN INC,No,"19743 FREDERICK ROAD
GERMANTOWN, MD 20876
(39.17953, -77.23837)"
RESIDENCE INN - BETHESDA,7335 WISCONSIN AVE,BETHESDA,MD,20814,BBWLHR735,On Premise,"RLJ R BETHESDA LESSEE, LLC",No,"7335 WISCONSIN AVE
BETHESDA, MD 20814
(38.98289, -77.09342)"
AZUCAR RESTAURANT,14418 LAYHILL ROAD,SILVER SPRING,MD,20906,BBWLHR389,On Premise,"JAR-RAM & JAG, INC.",No,"14418 LAYHILL ROAD
SILVER SPRING, MD 20906
(39.09302, -77.04612)"
WILLOUGHBY MARKET,4515 WILLARD AVE,CHEVY CHASE,MD,20815,ABW175,Off Premise,CHAE UNG CHO,No,"4515 WILLARD AVE
CHEVY CHASE, MD 20815
(38.96216, -77.08983)"
BETHESDA CRAB HOUSE,4958 BETHESDA AVE,BETHESDA,MD,20814,BBWHR079,On/Off-Premise,"BETHESDA CRAB HOUSE, LLC",No,"4958 BETHESDA AVE
BETHESDA, MD 20814
(38.98064, -77.10025)"
ROYAL TANDOOR,820 MUDDY BRANCH RD.,GAITHERSBURG,MD,20878,BBWLHR485312,On Premise,"ROYAL BROTHERS, INC.",No,"820 MUDDY BRANCH RD.
GAITHERSBURG, MD 20878
(39.11415, -77.21716)"
CASA OAXACA,4905 FAIRMOUNT AVENUE,BETHESDA,MD,20814,BBWLHR42419,On Premise,"TEQ. & MEZCAL COCINA MEXICANA,LLC",No,"4905 FAIRMOUNT AVENUE
BETHESDA, MD 20814
(38.98827, -77.0968)"
Z-GEPETTO CATERING COMPANY,,,,,CATBWL26369,On Premise,"GEPETTO CATERING COMPANY, INC.",No,
LUKE'S LOBSTER,7129 BETHESDA LANE,BETHESDA,MD,20814,DBW147,On/Off-Premise,LUKE'S LOBSTER X LLC,No,"7129 BETHESDA LANE
BETHESDA, MD 20814
(38.9818, -77.09781)"
EL SITIO RESTAURANT,8210 PINEY BRANCH ROAD,SILVER SPRING,MD,20910,BBWLHR437,On Premise,"J.B. MARTINEZ, INC.",No,"8210 PINEY BRANCH ROAD
SILVER SPRING, MD 20910
(38.9933, -77.00947)"
CENTRADO CAFE SHOP,15530 OLD COLUMBIA PIKE,BURTONSVILLE,MD,20866,BDBWL785366,On/Off-Premise,CENTRADO INVESTMENTS LLC,No,"15530 OLD COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.11049, -76.93436)"
BARUCH CAFE EXPRESS,4800 AUBURN AVENUE,BETHESDA,MD,20814,ABWS1346544,Off Premise,BARUCH CAFE LLC,No,"4800 AUBURN AVENUE
BETHESDA, MD 20814
(38.99081, -77.09908)"
FISH TACO OF BETHESDA,10305 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,BBWLHR24030,On Premise,"FISH TACO OF BETHESDA, INC",No,"10305 OLD GEORGETOWN ROAD
BETHESDA, MD 20814
(39.02461, -77.12432)"
LA MEXICANA - GAITHERSBURG,16143 SHADY GROVE ROAD,GAITHERSBURG,MD,20877,BBWLHR828,On Premise,LA MEXICANA INC.,No,"16143 SHADY GROVE ROAD
GAITHERSBURG, MD 20877
(39.12012, -77.179)"
"SEMINARY BEER, WINE & DELI",9458 GEORGIA AVE,SILVER SPRING,MD,20910,ABWS1067695,Off Premise,"B.B.S.B.,INC.",Yes,"9458 GEORGIA AVE
SILVER SPRING, MD 20910
(39.01052, -77.04092)"
SOFIVE,1008 WESTMORE AVENUE,ROCKVILLE,MD,20850,DBW41761,On/Off-Premise,"SOFIVE, INC.",No,"1008 WESTMORE AVENUE
ROCKVILLE, MD 20850
(39.09881, -77.14934)"
MEXICAN GRILL,19710-K FISHER AVE,POOLESVILLE,MD,20837,BBWLHR25584,On Premise,"MEXICAN GRILL, LLC",No,"19710-K FISHER AVE
POOLESVILLE, MD 20837
(39.14408, -77.41246)"
BEST CONVENIENCE MART,8120 PINEY BRANCH RD.,SILVER SPRING,MD,20910,ABW238266,Off Premise,"FANTU, INC.",No,"8120 PINEY BRANCH RD.
SILVER SPRING, MD 20910
(38.99252, -77.00966)"
Z-QDOBAS MEXICAN EATS,16260 FREDERICK RD.,GAITHERSBURG,MD,20877,BBWLHR531355,On/Off-Premise,"METROMEX HOSPITALITY GROUP, INC.",No,"16260 FREDERICK RD.
GAITHERSBURG, MD 20877
(39.12184, -77.17804)"
DOCK OF THE BAY,429 S. FREDERICK AVENUE,GAITHERSBURG,MD,20877,DBW836400,On/Off-Premise,"URKAY, LLC",Yes,"429 S. FREDERICK AVENUE
GAITHERSBURG, MD 20877
(39.13597, -77.19159)"
VFW POST 2562,11316 FERN STREET,SILVER SPRING,MD,20902,CBWLFV001,On Premise,SILVER SPRING MEMORIAL VFW,No,"11316 FERN STREET
SILVER SPRING, MD 20902
(39.04079, -77.04941)"
N-RTD TEST CUSTOMER2,902 Edison Park dr,Gaithersburg,MD,0000,CV12821891,Off Premise,RTD TEST CUSTOMER2,Yes,"902 Edison Park dr
Gaithersburg, MD 0000"
SHERATON ROCKVILLE HOTEL,920 KING FARM BLVD,ROCKVILLE,MD,20850,BBWLHM024,On Premise,"GRAND PRIX ROCKVILLE, LLC",No,"920 KING FARM BLVD
ROCKVILLE, MD 20850
(39.10961, -77.18342)"
AMC THEATRES WHEATON 9,11006 VEIRS MILL RD,WHEATON,MD,20902,BBWLHR21332,On Premise,"AMC OF MARYLAND, LLC",No,"11006 VEIRS MILL RD
WHEATON, MD 20902
(39.03697, -77.05123)"
THE QUARRY HOUSE TAVERN,8401 GEORGIA AVE,SILVER SPRING,MD,20910,BBWLHR030,On Premise,"DOGBONE, LLC.",No,"8401 GEORGIA AVE
SILVER SPRING, MD 20910
(38.99354, -77.02665)"
LA PANETTERIA,4921 CORDELL AVE.,BETHESDA,MD,20814,BBWLHR42759,On Premise,"BAIRES KITCHEN, LLC",No,"4921 CORDELL AVE.
BETHESDA, MD 20814
(38.98879, -77.09867)"
CHOICE WINE & BEER,11160 VEIRS MILL RD.,WHEATON,MD,20902,ABWS566348,Off Premise,"PERFECT CHOICE WINE & BEER, LLC",Yes,"11160 VEIRS MILL RD.
WHEATON, MD 20902
(39.03748, -77.05329)"
JNK BEER & WINE,14344 LAYHILL RD.,SILVER SPRING,MD,20906,DBW450315,On/Off-Premise,"CABIN JOHN WINE & BEER, INC.",Yes,"14344 LAYHILL RD.
SILVER SPRING, MD 20906
(39.09184, -77.04513)"
EL AGUILA - GEORGIA AVENUE,7926 GEORGIA AVENUE,SILVER SPRING,MD,20910,BBWLHR840,On Premise,"JID, LLC",No,"7926 GEORGIA AVENUE
SILVER SPRING, MD 20910
(38.98579, -77.02663)"
THE GREENE TURTLE BAR & GRILLE,18101 TOWN CENTER DRIVE,OLNEY,MD,20832,BBWLHR803,On Premise,"GT OLNEY, LLC",No,"18101 TOWN CENTER DRIVE
OLNEY, MD 20832
(39.15182, -77.06174)"
N-Stephanie Zambrano,25209 Bonny Brooks Ln,Gaithersburg,MD,20882,2025,,,No,"25209 Bonny Brooks Ln
Gaithersburg, MD 20882
(39.27303, -77.18926)"
BAI KAO THAI,12944-D TRAVILAH ROAD,POTOMAC,MD,20854,HBWHR1265550,On Premise,DIBAVADI CORP.,No,"12944-D TRAVILAH ROAD
POTOMAC, MD 20854
(39.06807, -77.26372)"
Z-MOD SUPER FAST PIZZA,,,,,BBWLHR21675,On Premise,"MOD SUPER FAST PIZZA, LLC",No,
NAZRAWI ETHIOPIAN RESTAURANT,952 SLIGO AVENUE,SILVER SPRING,MD,20910,BBWLHR884399,On Premise,MESEYE ENTERPRISES LLC,No,"952 SLIGO AVENUE
SILVER SPRING, MD 20910
(38.99024, -77.02575)"
POLLO BRASERO REST. & CARRYOUT,14336 LAYHILL ROAD,SILVER SPRING,MD,20906,HBW246,On Premise,"JULROC, INC.",No,"14336 LAYHILL ROAD
SILVER SPRING, MD 20906
(39.0915, -77.0458)"
CHINA GARDEN HAN GONG,11333 WOODGLEN DR.,ROCKVILLE,MD,20852,BBWLHR42899,On Premise,"CHINA GARDEN OF VIRGINIA, INC.",No,"11333 WOODGLEN DR.
ROCKVILLE, MD 20852
(39.04388, -77.11293)"
IXTAPALAPA TAQUERIA,411 N. FREDERICK AVENUE,GAITHERSBURG,MD,20877,BBWLHR29498,On Premise,IXTAPALAPA LLC,No,"411 N. FREDERICK AVENUE
GAITHERSBURG, MD 20877
(39.14663, -77.20424)"
IBEX ETHIOPIAN RESTAURANT & LOUNGE,6846 NEW HAMPSHIRE AVE.,TAKOMA PARK,MD,20912,DBWL299261,On Premise,"IBEX BUSINESS P'SHIP, INC.",No,"6846 NEW HAMPSHIRE AVE.
TAKOMA PARK, MD 20912
(38.97462, -76.99558)"
GHAR-E-KABAB,944 WAYNE AVE.,SILVER SPRING,MD,20910,BBWLHR802372,On Premise,MDD GROUP LLC,No,"944 WAYNE AVE.
SILVER SPRING, MD 20910
(38.99465, -77.02578)"
FINEWINE.COM,20 GRAND CORNER AVE.,GAITHERSBURG,MD,20878,DBW542350,On/Off-Premise,"PSB, LLC",Yes,"20 GRAND CORNER AVE.
GAITHERSBURG, MD 20878
(39.11861, -77.20186)"
MARISCOS CULIACAN,"1341 UNIVERSITY BLVD, E.",TAKOMA PARK,MD,20912,DBWL1232518,On Premise,"JOSAM, LLC",No,"1341 UNIVERSITY BLVD, E.
TAKOMA PARK, MD 20912
(38.98716, -76.9855)"
BENIHANA OF TOKYO,7935 WISCONSIN AVE,BETHESDA,MD,20814,BBWLHR040,On Premise,BENIHANA BETHESDA CORPORATION,No,"7935 WISCONSIN AVE
BETHESDA, MD 20814
(38.99041, -77.09551)"
THE SENECA ROCKVILLE,55 WEST GUDE DRIVE,ROCKVILLE,MD,20850,BBWLHR1075432,On Premise,"SILVERSTONE ROCKVILLE OWNER, LLC",No,"55 WEST GUDE DRIVE
ROCKVILLE, MD 20850
(39.10707, -77.16365)"
LONG BRANCH BEER & WINE,649 UNIVERSITY BLVD,SILVER SPRING,MD,20901,ABW041,Off Premise,"LONG BRANCH BEER & WINE, INC.",Yes,"649 UNIVERSITY BLVD
SILVER SPRING, MD 20901
(38.99977, -76.9958)"
KURA REVOLVING SUSHI BAR,12266 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR1129447,On Premise,KURA SUSHI USA INC,No,"12266 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.05729, -77.12168)"
OLD ANGLERS INN,10801 MACARTHUR BLVD.,POTOMAC,MD,20854,BBWLHR060,On Premise,"MARYLAND CATERING CO., INC.",No,"10801 MACARTHUR BLVD.
POTOMAC, MD 20854
(38.98221, -77.2261)"
OLNEY BEER & WINE,18316 VILLAGE CENTER DR,OLNEY,MD,20832,BDBWL39022,On/Off-Premise,"OLNEY BEER & WINE, INC.",Yes,"18316 VILLAGE CENTER DR
OLNEY, MD 20832
(39.15481, -77.06388)"
WHITE'S FERRY STORE & GRILL,24801 WHITES FERRY RD.,DICKERSON,MD,20842,DBW92261,On/Off-Premise,"RC1, LLC",No,"24801 WHITES FERRY RD.
DICKERSON, MD 20842
(39.15465, -77.5192)"
JUICY SEAFOOD MD,2259 BEL PRE RD.,SILVER SPRING,MD,20906,BBWLHR235264,On Premise,"JUICY SEAFOOD MD, LLC",No,"2259 BEL PRE RD.
SILVER SPRING, MD 20906
(39.09161, -77.04793)"
VILLAGE GRILLE,50 SOUTHLAWN CT,ROCKVILLE,MD,20850,HBWHR875396,On Premise,VILLAGE GRILLE LLC,No,"50 SOUTHLAWN CT
ROCKVILLE, MD 20850
(39.103, -77.12895)"
NANDO'S PERI PERI - GAITHERSBURG,224 BOARDWALK PLACE,GAITHERSBURG,MD,20878,BBWLHR666,On Premise,"NANDO'S OF GAITHERSBURG, LLC",No,"224 BOARDWALK PLACE
GAITHERSBURG, MD 20878
(39.11639, -77.19781)"
MEDINA CUISINE,12205 NEBEL ST,ROCKVILLE,MD,20852,DBW1544545,On/Off-Premise,MEDINA CUISINE,No,"12205 NEBEL ST
ROCKVILLE, MD 20852
(39.05203, -77.11005)"
N-YUMMY BOWL,2010 VEIRS MILL ROAD,ROCKVILLE,MD,20851,BBWLHR1857544,On Premise,"HUA YUMMY BOWL, INC",No,"2010 VEIRS MILL ROAD
ROCKVILLE, MD 20851
(39.07568, -77.1161)"
BURGERFI,8504 FENTON STREET,SILVER SPRING,MD,20910,HBWHR34596,On Premise,"BUFISS, LLC",No,"8504 FENTON STREET
SILVER SPRING, MD 20910
(38.99566, -77.02452)"
T.G.I. FRIDAYS - SILVER SPRING,12281 TECH ROAD,SILVER SPRING,MD,20904,BBWLHR366,On Premise,"ATLANTA RESTAURANT PARTNERS, L",No,"12281 TECH ROAD
SILVER SPRING, MD 20904
(39.05705, -76.9669)"
SHALOM STRICTLY KOSHER MEATS,1361 LAMBERTON DRIVE,SILVER SPRING,MD,20902,ABWS103,Off Premise,"SHALOM STRICTLY KOSHER MEATS,",Yes,"1361 LAMBERTON DRIVE
SILVER SPRING, MD 20902
(39.04073, -77.03186)"
OUTBACK STEAKHOUSE,8661 COLESVILLE RD,SILVER SPRING,MD,20910,BBWLHR1069450,On Premise,"OUTBACK OF SILVER SPRING, INC",No,"8661 COLESVILLE RD
SILVER SPRING, MD 20910
(38.99678, -77.02689)"
CHIDO'S TEX-MEX GRILL,931 ELLSWORTH DRIVE,SILVER SPRING,MD,20910,BBWLHR1230498,On Premise,"EL TENAMPA III, LLC",No,"931 ELLSWORTH DRIVE
SILVER SPRING, MD 20910
(38.99569, -77.02671)"
EL CARACOL CAFE,609 SLIGO AVE,SILVER SPRING,MD,20910,BBWLHR1063665,On Premise,SNS CORPORATION,No,"609 SLIGO AVE
SILVER SPRING, MD 20910
(38.99151, -77.01337)"
VILLA MAYA RESTAURANT-CLARKSBURG,12051 CHESTNUT BRANCH WAY,CLARKSBURG,MD,20871,BBWLHR38456,On Premise,NCJ CORPORATION,No,"12051 CHESTNUT BRANCH WAY
CLARKSBURG, MD 20871
(39.23008, -77.2499)"
MAMAN,7140 BETHESDA LANE,BETHESDA,MD,20814,BBWLHR853396,On Premise,MAMAN BETHESDA LLC,No,"7140 BETHESDA LANE
BETHESDA, MD 20814
(38.98178, -77.0978)"
COLADA SHOP,7993 TUCKERMAN LN.,POTOMAC,MD,20854,BDBWL490322,On/Off-Premise,"COLADA SHOP POTOMAC, LLC",No,"7993 TUCKERMAN LN.
POTOMAC, MD 20854
(39.04089, -77.15833)"
HONG KONG PEARL SEAFOOD RESTAURANT,777 S FREDERICK AVE,GAITHERSBURG,MD,20877,BBWLHR1095432,On Premise,HONG KONG PEARL SEAFOOD RESTAURANT LLC,No,"777 S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.12701, -77.18299)"
MUSE PAINTBAR,217 BOARDWALK PLACE,GAITHERSBURG,MD,20878,HBWHR372276,On Premise,"EAD ENTERTAINMENT, LLC",No,"217 BOARDWALK PLACE
GAITHERSBURG, MD 20878
(39.11653, -77.19799)"
KW BEER AND WINE,8513 PINEY BRANCH ROAD,SILVER SPRING,MD,20901,ABW1119444,Off Premise,KW BEER AND WINE INC,Yes,"8513 PINEY BRANCH ROAD
SILVER SPRING, MD 20901
(38.99812, -77.00291)"
GISELE CREOLE CUISINE,2407 PRICE AVE,WHEATON,MD,20902,BBWLHR1430544,On Premise,"MCI XQUISITE, LLC",No,"2407 PRICE AVE
WHEATON, MD 20902
(39.04025, -77.05068)"
THE CAPITAL GRILLE,"5310 WESTERN AVE, SUITE A",CHEVY CHASE,MD,20815,BBWLHR557,On Premise,"GMR MONTGOMERY COUNTY, INC.",No,"5310 WESTERN AVE, SUITE A
CHEVY CHASE, MD 20815
(38.96127, -77.0851)"
LIA'S,4435 WILLARD AVE,CHEVY CHASE,MD,20815,BBWLHR413,On Premise,"CG3,LLC",No,"4435 WILLARD AVE
CHEVY CHASE, MD 20815
(38.96183, -77.08772)"
GILLY'S CRAFT BEER & FINE WINE,2009 CHAPMAN AVENUE,ROCKVILLE,MD,20852,DBW41021,On/Off-Premise,"ROSEMARY WINEYARD, LLC",Yes,"2009 CHAPMAN AVENUE
ROCKVILLE, MD 20852
(39.05831, -77.11912)"
JC CRAB HOUSE,13432 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,HBW31540,On Premise,JC SEAFOOD LLC,No,"13432 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20904
(39.07631, -77.00192)"
FENWICK BEER & WINE,1327 FENWICK LANE,SILVER SPRING,MD,20910,DBW117,On/Off-Premise,"CAT MAN DO, INC.",Yes,"1327 FENWICK LANE
SILVER SPRING, MD 20910
(38.99703, -77.03283)"
IRENE'S PUPUSAS,12391 GEORGIA AVE,SILVER SPRING,MD,20906,BBWLHR729,On Premise,"CHIE' ENTERPRISES, LLC",No,"12391 GEORGIA AVE
SILVER SPRING, MD 20906
(39.06087, -77.05062)"
SPARK BY HILTON GERMANTOWN,20260 GOLDENROD LANE,GERMANTOWN,MD,20876,BBWLHM219,On Premise,"GERMANTOWN HOSPITALITY, LLC",No,"20260 GOLDENROD LANE
GERMANTOWN, MD 20876
(39.18659, -77.25203)"
ROSSMOOR LEISURE WORLD,3700 ROSSMOOR BLVD,SILVER SPRING,MD,20906,CBWLCC001,On Premise,"MARYLAND CLUBHOUSE SERV., INC.",No,"3700 ROSSMOOR BLVD
SILVER SPRING, MD 20906
(39.10088, -77.07324)"
CLASSIC BEER & WINE,891-C ROCKVILLE PIKE,ROCKVILLE,MD,20852,ABWS650360,Off Premise,"CLASSIC WINE ROCKVILLE, LLC",Yes,"891-C ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.07426, -77.13681)"
REDMILL MARKET BEER & WINE,7248 MUNCASTER MILL ROAD,DERWOOD,MD,20855,DBW090,On/Off-Premise,"SR GROUP, INC.",Yes,"7248 MUNCASTER MILL ROAD
DERWOOD, MD 20855
(39.14572, -77.14537)"
BUTLER'S ORCHARD,22200-C DAVIS MILL ROAD,GERMANTOWN,MD,20876,DBW1081432,On/Off-Premise,"BUTLER'S ORCHARD MARKET, INC",No,"22200-C DAVIS MILL ROAD
GERMANTOWN, MD 20876
(39.21897, -77.22093)"
HOME2,1701 ELTON RD.,SILVER SPRING,MD,20903,DBW42859,On/Off-Premise,"HILLANDALE HOSPITALITY, LLC",No,"1701 ELTON RD.
SILVER SPRING, MD 20903
(39.01987, -76.97461)"
MOSAIC CUISINE,186 HALPINE RD,ROCKVILLE,MD,20852,BBWLHR885403,On Premise,AREN LLC,No,"186 HALPINE RD
ROCKVILLE, MD 20852
(39.06117, -77.12529)"
THE GRILL AT THAT'S AMORE,15201 SHADY GROVE RD.,ROCKVILLE,MD,20850,BBWLHR294259,On Premise,"STRADA FOODS, INC.",No,"15201 SHADY GROVE RD.
ROCKVILLE, MD 20850
(39.10554, -77.1899)"
MEDIUM RARE,4904 FAIRMONT AVE,BETHESDA,MD,20814,BBWLHR25766,On Premise,"MEDIUM RARE BETHESDA, LLC",No,"4904 FAIRMONT AVE
BETHESDA, MD 20814
(38.9882, -77.09687)"
SIMPLY FRESH EVENTS,7621 RICKENBACKER DRIVE #500,GAITHERSBURG,MD,20879,CATBWL28122,On Premise,"SIMPLY FRESH EVENTS, LLC",No,"7621 RICKENBACKER DRIVE #500
GAITHERSBURG, MD 20879
(39.17443, -77.15846)"
APPLEBEE'S,21048 FREDERICK ROAD,GERMANTOWN,MD,20876,BBWLHR645,On Premise,POTOMAC FAMILY DINING GROUP,No,"21048 FREDERICK ROAD
GERMANTOWN, MD 20876
(39.2021, -77.24612)"
EL PAISANO,9112 ROTHBURY DRIVE,MONTGOMERY VILLAGE,MD,20886,BBWLHR214,On Premise,EL PAISANO INC.,No,"9112 ROTHBURY DRIVE
MONTGOMERY VILLAGE, MD 20886
(39.18491, -77.18846)"
T&T WINE SHOP,5052 NICHOLSON LN.,ROCKVILLE,MD,20852,ABWS454314,Off Premise,"T&T WINE SHOP, LLC",No,"5052 NICHOLSON LN.
ROCKVILLE, MD 20852
(39.04606, -77.10337)"
OLD WORLD FAVORITES,3854 INTERNATIONAL DR.,SILVER SPRING,MD,20906,DBW027,On/Off-Premise,"SATSHIV, INC.",Yes,"3854 INTERNATIONAL DR.
SILVER SPRING, MD 20906
(39.10373, -77.07602)"
SAN PANCHO,7056 CARROLL AVE,TAKOMA PARK,MD,20912,BBWLHR1059435,On Premise,SAN PANCHO LLC,No,"7056 CARROLL AVE
TAKOMA PARK, MD 20912
(38.97512, -77.01052)"
ELSI ETHIOPIAN RESTAURANT AND BAR,13825 OUTLET DR,SILVER SPRING,MD,20904,BBWLHR1042432,On Premise,ELSI ETHIOPIAN RESTAURANT AND BAR INC,No,"13825 OUTLET DR
SILVER SPRING, MD 20904
(39.08233, -76.94571)"
PETERS CARRY OUT,8017 WISCONSIN AVE,BETHESDA,MD,20814,BBWHR029,On/Off-Premise,PETERS CARRY OUT,No,"8017 WISCONSIN AVE
BETHESDA, MD 20814
(38.99095, -77.09563)"
PERSIMMON,7003 WISCONSIN AVE,CHEVY CHASE,MD,20815,BBWLHR1014418,On Premise,CHICKADEE LLC,No,"7003 WISCONSIN AVE
CHEVY CHASE, MD 20815
(38.97941, -77.09172)"
HUNAN DELIGHT,18220 VILLAGE CENTER DR,OLNEY,MD,20832,BBWLHR1043437,On Premise,HUNAN DELIGHT 1688 LLC,No,"18220 VILLAGE CENTER DR
OLNEY, MD 20832
(39.1538, -77.06431)"
SILVER STRINGS,8630 COLESVILLE RD.,SILVER SPRING,MD,20910,BBWLHR42502,On Premise,"SILVER STRINGS, INC.",No,"8630 COLESVILLE RD.
SILVER SPRING, MD 20910
(38.99693, -77.02752)"
HULU SKEWER HOUSE,1488-A ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR779374,On Premise,INVSIGHT GROUP LLC,No,"1488-A ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.06588, -77.12632)"
ARIRANG RESTAURANT,1314 EAST GUDE DRIVE,ROCKVILLE,MD,20850,BBWLHR020,On Premise,PLEROMA INC.,No,"1314 EAST GUDE DRIVE
ROCKVILLE, MD 20850
(39.09713, -77.1351)"
